Sample ID,Field ID,Barcode Compliant,Flagged Record,Collection Date,Year,Identification,Extra Info
2021_13_1_185_1,2021_13_1_185_1,Yes,,21-Aug-21,2021,Stenobrachius leucopsarus,Set 1
2021_13_1_185_2,2021_13_1_185_2,Yes,,21-Aug-21,2021,Stenobrachius leucopsarus,Set 1
2021_13_1_185_3,2021_13_1_185_3,Yes,,21-Aug-21,2021,Symbolophorus californiensis,Set 1
2021_13_1_185_4,2021_13_1_185_4,Yes,,21-Aug-21,2021,Stenobrachius leucopsarus,Set 1
2021_13_1_185_5,2021_13_1_185_5,Yes,,21-Aug-21,2021,Tarletonbeania crenularis,Set 1
2021_13_1_189_1,2021_13_1_189_1,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_2,2021_13_1_189_2,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_3,2021_13_1_189_3,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_4,2021_13_1_189_4,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_5,2021_13_1_189_5,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_6,2021_13_1_189_6,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_7,2021_13_1_189_7,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_8,2021_13_1_189_8,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_9,2021_13_1_189_9,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_1_189_10,2021_13_1_189_10,Yes,,21-Aug-21,2021,Diaphus theta,Set 1
2021_13_12_185_1,2021_13_12_185_1,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_2,2021_13_12_185_2,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_3,2021_13_12_185_3,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_4,2021_13_12_185_4,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_5,2021_13_12_185_5,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_6,2021_13_12_185_6,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_7,2021_13_12_185_7,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_8,2021_13_12_185_8,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_9,2021_13_12_185_9,No,,01-Sep-21,2021,Myctophidae,Set 12
2021_13_12_185_10,2021_13_12_185_10,Yes,,01-Sep-21,2021,Lampanyctus regalis,Set 12
2021_13_12_185_11,2021_13_12_185_11,Yes,,01-Sep-21,2021,Stenobrachius leucopsarus,Set 12
2021_13_12_189_1,2021_13_12_189_1,Yes,,01-Sep-21,2021,Diaphus theta,Set 12
2021_13_12_189_2,2021_13_12_189_2,Yes,,01-Sep-21,2021,Diaphus theta,Set 12
2021_13_12_189_3,2021_13_12_189_3,No,,01-Sep-21,2021,Diaphus theta,Set 12
2021_13_12_189_4,2021_13_12_189_4,Yes,,01-Sep-21,2021,Diaphus theta,Set 12
2021_13_12_189_5,2021_13_12_189_5,Yes,,01-Sep-21,2021,Diaphus theta,Set 12
2021_13_12_189_6,2021_13_12_189_6,Yes,,01-Sep-21,2021,Stenobrachius leucopsarus,Set 12
2021_13_12_193_1,2021_13_12_193_1,Yes,Yes,01-Sep-21,2021,Lampanyctus ritteri,Set 12
2021_13_12_193_2,2021_13_12_193_2,Yes,,01-Sep-21,2021,Lampanyctus ritteri,Set 12
2021_13_12_193_3,2021_13_12_193_3,Yes,,01-Sep-21,2021,Lampanyctus ritteri,Set 12
2021_13_12_193_4,2021_13_12_193_4,Yes,,01-Sep-21,2021,Lampanyctus ritteri,Set 12
2021_13_12_193_5,2021_13_12_193_5,Yes,,01-Sep-21,2021,Lampanyctus ritteri,Set 12
2021_13_12_193_6,2021_13_12_193_6,Yes,,01-Sep-21,2021,Lampanyctus ritteri,Set 12
2021_13_12_193_7,2021_13_12_193_7,Yes,,01-Sep-21,2021,Lampanyctus ritteri,Set 12
2021_13_12_843_1,2021_13_12_843_1,Yes,,01-Sep-21,2021,Tactostoma macropus,Set 12
2021_13_12_178_1,2021_13_12_178_1,No,Yes,01-Sep-21,2021,Gonostomatidae,Set 12
2021_13_13_182_1,2021_13_13_182_1,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_2,2021_13_13_182_2,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_3,2021_13_13_182_3,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_4,2021_13_13_182_4,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_5,2021_13_13_182_5,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_6,2021_13_13_182_6,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_7,2021_13_13_182_7,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_8,2021_13_13_182_8,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_9,2021_13_13_182_9,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_10,2021_13_13_182_10,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_182_11,2021_13_13_182_11,Yes,Yes,02-Sep-21,2021,Benthalbella dentata,Set 13
2021_13_13_182_12,2021_13_13_182_12,Yes,Yes,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_180_1,2021_13_13_180_1,Yes,,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_180_2,2021_13_13_180_2,Yes,,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_180_3,2021_13_13_180_3,Yes,,02-Sep-21,2021,Lestidiops ringens,Set 13
2021_13_13_197_1,2021_13_13_197_1,No,,02-Sep-21,2021,Stenobrachius leucopsarus,Set 13
2021_13_13_197_2,2021_13_13_197_2,Yes,Yes,02-Sep-21,2021,Lampanyctus regalis,Set 13
2021_13_13_197_3,2021_13_13_197_3,Yes,Yes,02-Sep-21,2021,Lampanyctus regalis,Set 13
2021_13_13_197_4,2021_13_13_197_4,Yes,,02-Sep-21,2021,Stenobrachius leucopsarus,Set 13
2021_13_13_197_5,2021_13_13_197_5,Yes,Yes,02-Sep-21,2021,Lampanyctus regalis,Set 13
2021_13_13_197_6,2021_13_13_197_6,Yes,,02-Sep-21,2021,Stenobrachius leucopsarus,Set 13
2021_13_13_197_7,2021_13_13_197_7,Yes,,02-Sep-21,2021,Stenobrachius leucopsarus,Set 13
2021_13_13_197_8,2021_13_13_197_8,Yes,Yes,02-Sep-21,2021,Lampanyctus regalis,Set 13
2021_13_13_197_9,2021_13_13_197_9,Yes,Yes,02-Sep-21,2021,Lampanyctus regalis,Set 13
2021_13_13_197_10,2021_13_13_197_10,Yes,,02-Sep-21,2021,Stenobrachius leucopsarus,Set 13
2021_13_13_171_1,2021_13_13_171_1,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_2,2021_13_13_171_2,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_3,2021_13_13_171_3,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_4,2021_13_13_171_4,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_5,2021_13_13_171_5,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_6,2021_13_13_171_6,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_7,2021_13_13_171_7,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_8,2021_13_13_171_8,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_9,2021_13_13_171_9,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_10,2021_13_13_171_10,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_11,2021_13_13_171_11,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
2021_13_13_171_12,2021_13_13_171_12,Yes,,02-Sep-21,2021,Chauliodus macouni,Set 13
