Year,Tow#,Sample.ID,Otolith.ID,MQ.code
2021,18,2021_13_18_182_1,Arctozenus risso,A.rizzo_2021_T18_1
2021,18,2021_13_18_182_10,Arctozenus risso,A.rizzo_2021_T18_10
2021,18,2021_13_18_182_2,Arctozenus risso,A.rizzo_2021_T18_2
2021,18,2021_13_18_182_3,Arctozenus risso,A.rizzo_2021_T18_3
2021,18,2021_13_18_182_4,Arctozenus risso,A.rizzo_2021_T18_4
2021,18,2021_13_18_182_5,Arctozenus risso,A.rizzo_2021_T18_5
2021,18,2021_13_18_182_6,Arctozenus risso,A.rizzo_2021_T18_6
2021,18,2021_13_18_182_7,Arctozenus risso,A.rizzo_2021_T18_7
2021,18,2021_13_18_182_8,Arctozenus risso,A.rizzo_2021_T18_8
2021,18,2021_13_18_182_9,Arctozenus risso,A.rizzo_2021_T18_9
2021,18,2021_13_18_165_1,Bathophilus flemingi,B.flemingi_2021_T18_1
2021,18,2021_13_18_179_1,Benthalbella dentata,B.dentata_2021_T18_1
2021,18,2021_13_18_179_2,Benthalbella dentata,B.dentata_2021_T18_2
2021,18,2021_13_18_179_3,Benthalbella dentata,B.dentata_2021_T18_3
2021,13,2021_13_13_171_1,Chauliodus macouni,C.macouni_2021_T13_1
2021,13,2021_13_13_171_10,Chauliodus macouni,C.macouni_2021_T13_10
2021,13,2021_13_13_171_11,Chauliodus macouni,C.macouni_2021_T13_11
2021,13,2021_13_13_171_12,Chauliodus macouni,C.macouni_2021_T13_12
2021,13,2021_13_13_171_13,Chauliodus macouni,C.macouni_2021_T13_13
2021,13,2021_13_13_171_2,Chauliodus macouni,C.macouni_2021_T13_2
2021,13,2021_13_13_171_3,Chauliodus macouni,C.macouni_2021_T13_3
2021,13,2021_13_13_171_4,Chauliodus macouni,C.macouni_2021_T13_4
2021,13,2021_13_13_171_5,Chauliodus macouni,C.macouni_2021_T13_5
2021,13,2021_13_13_171_6,Chauliodus macouni,C.macouni_2021_T13_6
2021,13,2021_13_13_171_7,Chauliodus macouni,C.macouni_2021_T13_7
2021,13,2021_13_13_171_8,Chauliodus macouni,C.macouni_2021_T13_8
2021,13,2021_13_13_171_9,Chauliodus macouni,C.macouni_2021_T13_9
2021,18,2021_13_18_171_1,Chauliodus macouni,C.macouni_2021_T18_1
2021,18,2021_13_18_171_10,Chauliodus macouni,C.macouni_2021_T18_10
2021,18,2021_13_18_171_2,Chauliodus macouni,C.macouni_2021_T18_2
2021,18,2021_13_18_171_3,Chauliodus macouni,C.macouni_2021_T18_3
2021,18,2021_13_18_171_4,Chauliodus macouni,C.macouni_2021_T18_4
2021,18,2021_13_18_171_5,Chauliodus macouni,C.macouni_2021_T18_5
2021,18,2021_13_18_171_6,Chauliodus macouni,C.macouni_2021_T18_6
2021,18,2021_13_18_171_7,Chauliodus macouni,C.macouni_2021_T18_7
2021,18,2021_13_18_171_8,Chauliodus macouni,C.macouni_2021_T18_8
2021,18,2021_13_18_171_9,Chauliodus macouni,C.macouni_2021_T18_9
2021,1,2021_13_1_189_1,Diaphus theta,D.theta_2021_T1_1
2021,1,2021_13_1_189_10,Diaphus theta,D.theta_2021_T1_10
2021,1,2021_13_1_189_2,Diaphus theta,D.theta_2021_T1_2
2021,1,2021_13_1_189_3,Diaphus theta,D.theta_2021_T1_3
2021,1,2021_13_1_189_4,Diaphus theta,D.theta_2021_T1_4
2021,1,2021_13_1_189_5,Diaphus theta,D.theta_2021_T1_5
2021,1,2021_13_1_189_6,Diaphus theta,D.theta_2021_T1_6
2021,1,2021_13_1_189_7,Diaphus theta,D.theta_2021_T1_7
2021,1,2021_13_1_189_8,Diaphus theta,D.theta_2021_T1_8
2021,1,2021_13_1_189_9,Diaphus theta,D.theta_2021_T1_9
2021,12,2021_13_12_189_1,Diaphus theta,D.theta_2021_T12_1
2021,12,2021_13_12_189_2,Diaphus theta,D.theta_2021_T12_2
2021,12,2021_13_12_189_3,Diaphus theta,D.theta_2021_T12_3
2021,12,2021_13_12_189_4,Diaphus theta,D.theta_2021_T12_4
2021,12,2021_13_12_189_5,Diaphus theta,D.theta_2021_T12_5
2021,18,2021_13_18_189_1,Diaphus theta,D.theta_2021_T18_1
2021,18,2021_13_18_189_2,Diaphus theta,D.theta_2021_T18_2
2021,18,2021_13_18_189_3,Diaphus theta,D.theta_2021_T18_3
2021,18,2021_13_18_189_4,Diaphus theta,D.theta_2021_T18_4
2021,18,2021_13_18_189_5,Diaphus theta,D.theta_2021_T18_5
2021,18,2021_13_18_189_6,Diaphus theta,D.theta_2021_T18_6
2021,18,2021_13_18_189_7,Diaphus theta,D.theta_2021_T18_7
2021,2,2021_13_2_189_1,Diaphus theta,D.theta_2021_T2_1
2021,2,2021_13_2_189_10,Diaphus theta,D.theta_2021_T2_10
2021,2,2021_13_2_189_2,Diaphus theta,D.theta_2021_T2_2
2021,2,2021_13_2_189_3,Diaphus theta,D.theta_2021_T2_3
2021,2,2021_13_2_189_4,Diaphus theta,D.theta_2021_T2_4
2021,2,2021_13_2_189_5,Diaphus theta,D.theta_2021_T2_5
2021,2,2021_13_2_189_6,Diaphus theta,D.theta_2021_T2_6
2021,2,2021_13_2_189_7,Diaphus theta,D.theta_2021_T2_7
2021,2,2021_13_2_189_8,Diaphus theta,D.theta_2021_T2_8
2021,2,2021_13_2_189_9,Diaphus theta,D.theta_2021_T2_9
2021,3,2021_13_3_189_1,Diaphus theta,D.theta_2021_T3_1
2021,3,2021_13_3_189_10,Diaphus theta,D.theta_2021_T3_10
2021,3,2021_13_3_189_2,Diaphus theta,D.theta_2021_T3_2
2021,3,2021_13_3_189_3,Diaphus theta,D.theta_2021_T3_3
2021,3,2021_13_3_189_4,Diaphus theta,D.theta_2021_T3_4
2021,3,2021_13_3_189_5,Diaphus theta,D.theta_2021_T3_5
2021,3,2021_13_3_189_6,Diaphus theta,D.theta_2021_T3_6
2021,3,2021_13_3_189_7,Diaphus theta,D.theta_2021_T3_7
2021,3,2021_13_3_189_8,Diaphus theta,D.theta_2021_T3_8
2021,3,2021_13_3_189_9,Diaphus theta,D.theta_2021_T3_9
2021,4,2021_13_4_189_1,Diaphus theta,D.theta_2021_T4_1
2021,4,2021_13_4_189_10,Diaphus theta,D.theta_2021_T4_10
2021,4,2021_13_4_189_2,Diaphus theta,D.theta_2021_T4_2
2021,4,2021_13_4_189_3,Diaphus theta,D.theta_2021_T4_3
2021,4,2021_13_4_189_4,Diaphus theta,D.theta_2021_T4_4
2021,4,2021_13_4_189_5,Diaphus theta,D.theta_2021_T4_5
2021,4,2021_13_4_189_6,Diaphus theta,D.theta_2021_T4_6
2021,4,2021_13_4_189_7,Diaphus theta,D.theta_2021_T4_7
2021,4,2021_13_4_189_8,Diaphus theta,D.theta_2021_T4_8
2021,4,2021_13_4_189_9,Diaphus theta,D.theta_2021_T4_9
2021,12,2021_13_12_193_1,Lampanyctus regalis,L.regalis_2021_T12_1
2021,12,2021_13_12_193_2,Lampanyctus regalis,L.regalis_2021_T12_2
2021,12,2021_13_12_193_3,Lampanyctus regalis,L.regalis_2021_T12_3
2021,12,2021_13_12_193_4,Lampanyctus regalis,L.regalis_2021_T12_4
2021,12,2021_13_12_193_5,Lampanyctus regalis,L.regalis_2021_T12_5
2021,12,2021_13_12_193_6,Lampanyctus regalis,L.regalis_2021_T12_6
2021,12,2021_13_12_193_7,Lampanyctus regalis,L.regalis_2021_T12_7
2021,MQ,2021_MQ_193_1,Lampanyctus regalis,L.regalis_2021_MQ_1
2021,MQ,2021_MQ_193_2,Lampanyctus regalis,L.regalis_2021_MQ_2
2021,12,2021_13_12_185_1,Lampanyctus ritteri,L.ritteri_2021_T12_1
2021,12,2021_13_12_185_10,Lampanyctus ritteri,L.ritteri_2021_T12_10
2021,12,2021_13_12_185_2,Lampanyctus ritteri,L.ritteri_2021_T12_2
2021,12,2021_13_12_185_3,Lampanyctus ritteri,L.ritteri_2021_T12_3
2021,12,2021_13_12_185_4,Lampanyctus ritteri,L.ritteri_2021_T12_4
2021,12,2021_13_12_185_5,Lampanyctus ritteri,L.ritteri_2021_T12_5
2021,12,2021_13_12_185_6,Lampanyctus ritteri,L.ritteri_2021_T12_6
2021,12,2021_13_12_185_7,Lampanyctus ritteri,L.ritteri_2021_T12_7
2021,12,2021_13_12_185_8,Lampanyctus ritteri,L.ritteri_2021_T12_8
2021,12,2021_13_12_185_9,Lampanyctus ritteri,L.ritteri_2021_T12_9
2021,13,2021_13_13_197_2,Lampanyctus ritteri,L.ritteri_2021_T13_1
2021,13,2021_13_13_197_3,Lampanyctus ritteri,L.ritteri_2021_T13_2
2021,13,2021_13_13_197_5,Lampanyctus ritteri,L.ritteri_2021_T13_3
2021,13,2021_13_13_197_8,Lampanyctus ritteri,L.ritteri_2021_T13_4
2021,13,2021_13_13_197_9,Lampanyctus ritteri,L.ritteri_2021_T13_5
2021,18,2021_13_18_197_1,Lampanyctus ritteri,L.ritteri_2021_T18_1
2021,18,2021_13_18_197_10,Lampanyctus ritteri,L.ritteri_2021_T18_3
2021,18,2021_13_18_197_9,Lampanyctus ritteri,L.ritteri_2021_T18_2
2021,2,2021_13_2_185_3,Lampanyctus ritteri,L.ritteri_2021_T2_1
2021,2,2021_13_2_185_6,Lampanyctus ritteri,L.ritteri_2021_T2_2
2021,MQ,2021_MQ_193_3B,Lampanyctus ritteri,L.ritteri_2021_MQ_1
2021,13,2021_13_13_182_10,Lestidiops ringens,L.ringens_2021_T13_9
2021,13,2021_13_13_182_12,Lestidiops ringens,L.ringens_2021_T13_10
2021,13,2021_13_13_182_2,Lestidiops ringens,L.ringens_2021_T13_1
2021,13,2021_13_13_182_3,Lestidiops ringens,L.ringens_2021_T13_2
